nombre,url,direccion,ciudad,provincia,telefono,productos
Seqirus,https://ar.prvademecum.com/laboratorio/seqirus-979/,Fray Justo Sarmiento 2350,Olivos,Bs. As.,11 5280 9566,AFLURIA QUAD; AFLURIA QUAD JUNIOR; AGRIPPAL S1; FLUAD; FLUCELVAX; FLUCELVAX QUAD
Tauro,https://ar.prvademecum.com/laboratorio/tauro-837/,Juan Agustín García 5420,Capital,,4567-9447 / 4639-0938,
Ariston,https://ar.prvademecum.com/laboratorio/ariston-14/,O'Connor 550/5,V. Sarmiento Morón,Bs. As.,4658-3051 al 55,5 XR 1000; 5 XR 500; ADROMUX; AGRELID; ALEPSAL; ALLOPURINOL HOUDE; ALZATEN; ANA-Q; ARAPENTIN; ARIFLENAC FORTE; ARIGASTRIL; ARISDAR; AROTRAN; ARTREX RETARD; AUDECOL
Biotenk,https://ar.prvademecum.com/laboratorio/biotenk-358/,Zuviría 5747,Capital,,4604-0204/05,AMOXITENK; AMOXITENK PLUS 1G; ATORVASTAN; BEFOL 75; BEFOL AP RETARD; BEFOL B12 FORTE; BEFOL FLEX; BEFOL PLUS; BEFOL VL; BIOFEM; BIOLUTAM; BIOXIN CORT; CARVEDILOL BIOTENK; CEFER; CIPROTENK
Csl Behring,https://ar.prvademecum.com/laboratorio/csl-behring-640/,Fray J. Sarmiento 2350 4º Edif. 2B,Olivos,Bs. As.,4344-9550,AFSTYLA; ALBUREX; BERIATE P; BERINERT P; BERINERT SC; BERIPLAST P COMBI SET; BERIPLEX P/N; FIBROGAMMIN P; HAEMATE P; HAEMOCOMPLETTAN P; HIZENTRA; IDELVION; INMUNOGLOBULINA HEPATITIS-B P; PRIVIGEN; RHOPHYLAC
Lando,https://ar.prvademecum.com/laboratorio/lando-907/,Maipú 325 3B,,Capital federal,46871051,
Savant Pharm,https://ar.prvademecum.com/laboratorio/savant-pharm-739/,Esteban Echeverría 1050 Piso 7,Florida O,Bs. As.,11 4730 4606,ALMAXIMO GEL INTIMO; LEKIO
Kenvue,https://ar.prvademecum.com/laboratorio/kenvue-158/,Mendoza 1259 Piso 1,Capital,,5288-7700,DRAMAMINE
Nhsc,https://ar.prvademecum.com/laboratorio/nhsc-972/,,,,,BOOST; BOOST 1.5; FIBER MAIS; IMPACT; ISOSOURCE 1.5; MODULEN; NOVASOURCE GC; NOVASOURCE PROLINE; NUTREN 1.5; NUTREN CONTROL; NUTREN PROTEIN; NUTREN SENIOR
Neo Dermos,https://ar.prvademecum.com/laboratorio/neo-dermos-199/,Francisco Bilbao 1927,Capital,,4632-0717,ARISTALOE CREMA; ARISTALOE EMULSION; ARISTALOE GEL; BROMHISTOP ROLL-ON; BROMHISTOP SPRAY; DIAL-ND UNGUEAL; E AND C GEL; GALENIC RESTAURADOR CAPILAR; GALENIC SHAMPOO; KETOGENO SHAMPOO; OXIDERMOS; PURACLIN GEL EXFOLIANTE; PURACLIN LOCION LIMPIADORA; PURAGE CREMA CORPORAL; PURAGE CREMA FACIAL
Daxley,https://ar.prvademecum.com/laboratorio/daxley-889/,José Ingenieros 2489,Olivos,Bs. As.,(+5411) 4790 1581,IMUKIN; ORFADIN
